X,Y,I,O
40.7747878,-73.9125551,1477,1502
40.80698,-73.941747,393,400
40.7713937,-73.9077436,535,551
40.8107922,-73.9430681,1375,1391
40.7787185,-73.9145645,594,603
40.8125511,-73.9492286,651,668
40.78145,-73.9183302,821,818
40.8114323,-73.9518776,966,979
40.805159,-73.954692,2472,2655
40.804038,-73.945925,834,815
40.8082,-73.9641,1316,949
40.6809741,-73.9710097,1126,1109
40.802692,-73.96295,1344,1147
40.8067581,-73.9607082,1176,758
40.81,-73.9551508,714,742
40.813358,-73.956461,760,795
40.8086249,-73.9596214,968,730
40.81028506,-73.95736456,363,345
40.6804836,-73.9646795,1099,1055
40.8120562,-73.9612547,605,589
40.6791944,-73.9587903,346,324
40.8143256,-73.9590255,1734,1763
40.678045,-73.962408,1054,986
40.795508,-73.941606,372,382
40.805973,-73.964928,1168,1022
40.801694,-73.957145,2145,2243
40.7552433,-73.9485678,471,458
40.751047,-73.93797,992,1006
40.7527085,-73.9397405,537,542
40.75742,-73.945133,173,165
40.6794388,-73.9680438,1610,1607
40.7576314,-73.9391224,158,134
40.754876,-73.934326,575,535
40.7531106,-73.9279917,440,451
40.6765198,-73.9596082,1262,1225
40.757186,-73.932719,469,470
40.7601853,-73.9362726,156,150
40.7614376,-73.9411265,518,523
40.7596276,-73.9321455,435,427
40.7627442,-73.9391141,156,134
40.7569332,-73.9262231,737,751
40.6758324,-73.9561677,1020,1000
40.7557327,-73.9236611,838,839
40.676368,-73.952918,934,906
40.756913,-73.921631,1180,1187
40.7580583,-73.9242751,443,444
40.6769694,-73.96579,999,973
40.76108,-73.930562,474,469
40.6767,-73.969024,1756,1645
40.7628138,-73.9342862,338,339
40.6741806,-73.9564947,758,710
40.672695,-73.954131,858,830
40.6737236,-73.9631611,1023,983
40.6740123,-73.9671457,1204,1140
40.6721683,-73.9609,433,384
40.6716493,-73.9631145,1283,1173
40.6707767,-73.9576801,1527,1486
40.6691783,-73.9554162,329,334
40.7638753,-73.9364848,192,193
40.6686744,-73.9618148,366,366
40.7671863,-73.9373554,701,744
40.7668,-73.9347774,404,416
40.6679411,-73.9588,243,249
40.7659,-73.930819,663,675
40.7633589,-73.9286471,857,841
40.761584,-73.925921,1668,1641
40.760339,-73.9222427,617,625
40.6642406,-73.9574686,124,131
40.7577284,-73.9166368,665,674
40.7595701,-73.9142678,490,487
40.66314,-73.9605695,1369,1393
40.6627059,-73.9569115,278,283
40.763154,-73.920827,957,968
40.7647,-73.9240312,744,722
40.6630619,-73.9538746,503,505
40.7658346,-73.9265474,669,663
40.74252,-73.948852,439,436
40.7682,-73.9322662,412,412
40.7423737,-73.9566,434,429
40.7692475,-73.9354504,192,218
40.770845,-73.934171,931,961
40.7449067,-73.9534573,324,325
40.7703743,-73.9286078,345,350
40.745038,-73.957539,980,957
40.768692,-73.9249574,748,745
40.748,-73.9460927,976,985
40.7656251,-73.9136695,359,367
40.7671,-73.9169858,769,760
40.7485,-73.941275,587,580
40.7713615,-73.9246145,614,620
40.7519071,-73.9479119,44,36
40.7739825,-73.9309134,316,318
40.80756,-73.939182,461,461
40.8109494,-73.9634,944,737
40.7525758,-73.9364281,305,273
40.8025566,-73.9490782,897,908
40.80949535,-73.94776493,647,661
40.666563,-73.956741,280,271
40.72804857,-73.9788115,4449,4279
40.75462324,-73.99516761,5404,5416
40.68323865,-73.96599591,1690,1682
40.74286877,-73.98918629,8251,8055
40.76315482,-73.9398551,307,310
40.74128309,-73.93725872,240,231
40.69795032,-73.9707756,1386,1529
40.81439444,-73.95324737,474,483
40.75820465,-73.9283216,464,462
40.75186951,-73.9334929,467,451
40.72307749,-73.98583621,4265,4267
40.74353373,-74.00367558,3402,3465
40.74294892,-74.00413692,4610,4734
40.74102151,-74.00138497,3447,3466
40.66643931,-73.96055639,203,198
40.7612939,-73.91691685,729,722
40.67716489,-73.97382796,1901,1858
40.72019521,-74.01030064,4991,5156
40.76642553,-73.92062902,967,966
40.72395678,-73.94984365,1507,1531
40.67630358,-74.00314048,201,193
40.77477945,-73.95427465,590,582
40.67759207,-73.95563722,1005,1004
40.70140317,-73.9867267,3755,3891
40.7845968,-73.94968539,1003,1019
40.67583294,-74.01472628,1169,1299
40.75412081,-73.98025185,4489,4508
40.73756121,-74.00398269,3975,3987
40.7394482,-74.00507033,6680,6780
40.74322681,-73.97449784,1764,1777
40.75792021,-73.96638215,742,730
40.79904139,-73.9664948,383,392
40.76408932,-73.91065121,16,18
40.69999748,-73.97440128,2,3
